time,x acceleration,y acceleration,z acceleration,magnitude acceleration
21.835631,-0.008372263,0.001851302,0.064897662,0.065461658
21.845698,0.020348776,0.004103375,0.034212644,0.040017688
21.855765,0.008712269,-0.025116404,0.007563373,0.027639501
21.865832,0.019256462,-0.016534391,0.011152979,0.02772339
21.875899,0.018223889,-0.015571355,0.010852432,0.026312592
21.885966,0.020668619,-0.022687398,0.009050905,0.031997324
21.896033,0.025492755,-0.001979776,0.007252886,0.02657827
21.906101,0.011614224,-0.003225251,0.031049885,0.033307473
21.916168,0.009229967,0.018899626,0.051256108,0.055403761
21.926235,-0.014796763,0.035030431,0.063830545,0.074299487
21.936302,-0.019423628,0.032086304,0.077005491,0.08565427
21.946369,-0.014084197,0.042279407,0.087638068,0.098317567
21.956436,-0.006606129,0.025446388,0.104706675,0.107956693
21.966503,-0.027994988,0.017893576,0.089289907,0.095271123
21.97657,-0.020662744,0.01848356,0.070878779,0.076107768
21.986638,-0.02845891,0.010785664,0.06908076,0.075487691
21.996705,-0.000839889,0.002636966,0.039740601,0.039836847
22.006772,0.017066899,0.004022501,0.028508685,0.033469458
22.016839,0.020996758,-0.020174977,0.012035909,0.031508041
22.026906,0.021583553,-0.023739348,0.004691806,0.032425599
22.036973,0.027735564,-0.019867432,-0.00070342,0.034124348
22.04704,0.021088796,-0.01124151,0.00528062,0.02447435
22.057108,0.034817383,0.005805006,0.023394125,0.042346586
22.067175,0.023315608,0.021235772,0.042258997,0.052729483
22.077242,-0.004312897,0.016474512,0.074000022,0.075934274
22.087309,-0.00509837,0.025401456,0.075056614,0.079402284
22.097376,-0.01965664,0.021007237,0.092278419,0.096659164
22.107443,-0.012154123,0.025750699,0.083299434,0.088031909
22.11751,-0.030717269,0.019889925,0.081801378,0.089613755
22.127578,-0.015981263,0.017426457,0.076411414,0.079986164
22.137645,-0.017107656,-0.005280127,0.073412377,0.075564071
22.147712,-0.011224206,0.009267819,0.056636716,0.058477284
22.157779,-0.003674454,0.012827311,0.056775295,0.058322171
22.167846,0.014854175,0.001120948,0.024734892,0.028874174
22.177913,0.023335708,-0.014173486,0.010358343,0.029201682
22.18798,0.009349753,-0.008389421,0.011700279,0.017166734
22.198047,0.030466095,-0.006334069,0.018885922,0.036400294
22.208115,0.011971352,0.007886633,0.016797881,0.022083502
22.218182,0.022477748,0.023064762,0.038510347,0.050202383
22.228249,0.009142158,0.022282131,0.056481764,0.06140246
22.238316,0.004719827,0.007385143,0.057685706,0.058347732
22.248383,-0.00161279,0.018362486,0.066073537,0.068596605
22.25845,-0.027550308,0.024269197,0.091671478,0.09875056
22.268517,-0.019294505,0.012701559,0.090919526,0.093808143
